BRANCH1,SUBJECT,YEAR,UNIT,QUESTION,OPTION A,OPTION B,OPTION C,OPTION D,ANSWER,BRANCH
CSE,DESIGN AND ANALYSIS OF ALGORITHMS,3,1,What is the space complexity of an algorithm?,The amount of memory used by the algorithm,The time taken by the algorithm to execute,The number of lines of code in the algorithm,The number of input variables to the algorithm,The amount of memory used by the algorithm,CSE-3
CSE,DESIGN AND ANALYSIS OF ALGORITHMS,3,1,Which sorting algorithm has a worst-case time complexity of O(n^2)?,Quick Sort,Merge Sort,Heap Sort,Bubble Sort,Bubble Sort,CSE-3
CSE,DESIGN AND ANALYSIS OF ALGORITHMS,3,1,What is the time complexity of Merge Sort in the best average and worst cases?,"O(n), O(n log n), O(n^2)","O(n log n), O(n log n), O(n log n)","O(n^2), O(n^2), O(n^2)","O(n log n), O(n^2), O(n^2)","O(n log n), O(n log n), O(n log n)",CSE-3
CSE,DESIGN AND ANALYSIS OF ALGORITHMS,3,2,Red-Black trees are:,Self-balancing binary search trees,Heaps,Tries,B-trees,Self-balancing binary search trees,CSE-3
CSE,DESIGN AND ANALYSIS OF ALGORITHMS,3,2,Binomial heaps are used to implement:,Priority queues,Hash tables,Tries,Graphs,Priority queues,CSE-3
CSE,DESIGN AND ANALYSIS OF ALGORITHMS,3,2,B-trees are optimized for:,Disk-based storage,Main memory storage,Both a and b,Neither a nor b,Disk-based storage,CSE-3
CSE,DESIGN AND ANALYSIS OF ALGORITHMS,3,3,Which of the following algorithms is used to find the closest pair of points in a plane?,Merge Sort,Quick Sort,Divide and Conquer,None of the above,Divide and Conquer,CSE-3
CSE,DESIGN AND ANALYSIS OF ALGORITHMS,3,3,Greedy algorithms make decisions based on:,Future information,Past information,Local optimal choices,Global optimal choices,Local optimal choices,CSE-3
CSE,DESIGN AND ANALYSIS OF ALGORITHMS,3,3,Which of the following algorithms is a greedy algorithm?,Dijkstra's Algorithm,Bellman-Ford Algorithm,Prim's Algorithm,All of the above,All of the above,CSE-3
CSE,DESIGN AND ANALYSIS OF ALGORITHMS,3,4,Which of the following is a classic example of dynamic programming?,Quicksort,Merge Sort,Knapsack Problem,Tower of Hanoi,Knapsack Problem,CSE-3
CSE,DESIGN AND ANALYSIS OF ALGORITHMS,3,4,Backtracking is a technique used to:,Solve problems by systematically trying all possible solutions,Find the optimal solution to a problem,Approximate a solution to a problem,None of the above,Solve problems by systematically trying all possible solutions,CSE-3
CSE,DESIGN AND ANALYSIS OF ALGORITHMS,3,4,The N-Queens problem is a classic example of:,Divide and Conquer,Dynamic Programming,Backtracking,Greedy Algorithm,Backtracking,CSE-3
CSE,DESIGN AND ANALYSIS OF ALGORITHMS,3,5,FFT is an algorithm for computing the:,Discrete Fourier Transform (DFT) efficiently,Inverse Fourier Transform,Laplace Transform,Z-Transform,Discrete Fourier Transform (DFT) efficiently,CSE-3
CSE,DESIGN AND ANALYSIS OF ALGORITHMS,3,5,The Knuth-Morris-Pratt algorithm is a:,Brute-force string matching algorithm,Dynamic programming-based string matching algorithm,Finite automata-based string matching algorithm,Hashing-based string matching algorithm,Finite automata-based string matching algorithm,CSE-3
CSE,DESIGN AND ANALYSIS OF ALGORITHMS,3,5,An NP-complete problem is a problem that:,Can be solved in polynomial time,Can be verified in polynomial time,Is both NP and NP-hard,Is neither NP nor NP-hard,Is both NP and NP-hard,CSE-3
IT,DESIGN AND ANALYSIS OF ALGORITHMS,3,1,What is the space complexity of an algorithm?,The amount of memory used by the algorithm,The time taken by the algorithm to execute,The number of lines of code in the algorithm,The number of input variables to the algorithm,The amount of memory used by the algorithm,IT-3
IT,DESIGN AND ANALYSIS OF ALGORITHMS,3,1,Which sorting algorithm has a worst-case time complexity of O(n^2)?,Quick Sort,Merge Sort,Heap Sort,Bubble Sort,Bubble Sort,IT-3
IT,DESIGN AND ANALYSIS OF ALGORITHMS,3,1,What is the time complexity of Merge Sort in the best average and worst cases?,"O(n), O(n log n), O(n^2)","O(n log n), O(n log n), O(n log n)","O(n^2), O(n^2), O(n^2)","O(n log n), O(n^2), O(n^2)","O(n log n), O(n log n), O(n log n)",IT-3
IT,DESIGN AND ANALYSIS OF ALGORITHMS,3,2,Red-Black trees are:,Self-balancing binary search trees,Heaps,Tries,B-trees,Self-balancing binary search trees,IT-3
IT,DESIGN AND ANALYSIS OF ALGORITHMS,3,2,Binomial heaps are used to implement:,Priority queues,Hash tables,Tries,Graphs,Priority queues,IT-3
IT,DESIGN AND ANALYSIS OF ALGORITHMS,3,2,B-trees are optimized for:,Disk-based storage,Main memory storage,Both a and b,Neither a nor b,Disk-based storage,IT-3
IT,DESIGN AND ANALYSIS OF ALGORITHMS,3,3,Which of the following algorithms is used to find the closest pair of points in a plane?,Merge Sort,Quick Sort,Divide and Conquer,None of the above,Divide and Conquer,IT-3
IT,DESIGN AND ANALYSIS OF ALGORITHMS,3,3,Greedy algorithms make decisions based on:,Future information,Past information,Local optimal choices,Global optimal choices,Local optimal choices,IT-3
IT,DESIGN AND ANALYSIS OF ALGORITHMS,3,3,Which of the following algorithms is a greedy algorithm?,Dijkstra's Algorithm,Bellman-Ford Algorithm,Prim's Algorithm,All of the above,All of the above,IT-3
IT,DESIGN AND ANALYSIS OF ALGORITHMS,3,4,Which of the following is a classic example of dynamic programming?,Quicksort,Merge Sort,Knapsack Problem,Tower of Hanoi,Knapsack Problem,IT-3
IT,DESIGN AND ANALYSIS OF ALGORITHMS,3,4,Backtracking is a technique used to:,Solve problems by systematically trying all possible solutions,Find the optimal solution to a problem,Approximate a solution to a problem,None of the above,Solve problems by systematically trying all possible solutions,IT-3
IT,DESIGN AND ANALYSIS OF ALGORITHMS,3,4,The N-Queens problem is a classic example of:,Divide and Conquer,Dynamic Programming,Backtracking,Greedy Algorithm,Backtracking,IT-3
IT,DESIGN AND ANALYSIS OF ALGORITHMS,3,5,FFT is an algorithm for computing the:,Discrete Fourier Transform (DFT) efficiently,Inverse Fourier Transform,Laplace Transform,Z-Transform,Discrete Fourier Transform (DFT) efficiently,IT-3
IT,DESIGN AND ANALYSIS OF ALGORITHMS,3,5,The Knuth-Morris-Pratt algorithm is a:,Brute-force string matching algorithm,Dynamic programming-based string matching algorithm,Finite automata-based string matching algorithm,Hashing-based string matching algorithm,Finite automata-based string matching algorithm,IT-3
IT,DESIGN AND ANALYSIS OF ALGORITHMS,3,5,An NP-complete problem is a problem that:,Can be solved in polynomial time,Can be verified in polynomial time,Is both NP and NP-hard,Is neither NP nor NP-hard,Is both NP and NP-hard,IT-3
CSE,SOFTWARE ENGINEERING,3,1,The waterfall model is a:,Iterative development model.,Linear sequential development model.,Agile development model.,Rapid prototyping model.,Iterative development model.,CSE-3
CSE,SOFTWARE ENGINEERING,3,1,The process of understanding and defining the software system and its environment is called:,Design.,Implementation.,Testing.,Requirements engineering.,Requirements engineering.,CSE-3
CSE,SOFTWARE ENGINEERING,3,1,The ease with which software can be modified is referred to as:,Usability.,Reliability.,Efficiency.,Maintainability.,Maintainability.,CSE-3
CSE,SOFTWARE ENGINEERING,3,2,Which technique is used to model the flow of data within a system?,Entity-Relationship Diagram (ERD),Data Flow Diagram (DFD),Use Case Diagram,Class Diagram,Data Flow Diagram (DFD),CSE-3
CSE,SOFTWARE ENGINEERING,3,2,What is the primary difference between verification and validation?,"Verification ensures the software is built correctly, while validation ensures it meets the specified requirements.","Verification focuses on testing, while validation focuses on design.","Verification is a static process, while validation is a dynamic process.","Verification is performed by developers, while validation is performed by testers.","Verification ensures the software is built correctly, while validation ensures it meets the specified requirements.",CSE-3
CSE,SOFTWARE ENGINEERING,3,2,What is the purpose of an SQA plan?,To define the project schedule and budget.,To outline the quality assurance activities and procedures.,To document the software requirements.,To describe the system architecture.,To outline the quality assurance activities and procedures.,CSE-3
CSE,SOFTWARE ENGINEERING,3,3,Which design principle emphasizes breaking down a system into smaller independent modules?,Coupling,Cohesion,Modularization,Abstraction,Modularization,CSE-3
CSE,SOFTWARE ENGINEERING,3,3,In object-oriented design what is the concept of encapsulation?,Combining data and methods into a single unit.,Reusing code by creating templates.,"Breaking down a system into smaller, independent modules.",Hiding the implementation details of a class.,Hiding the implementation details of a class.,CSE-3
CSE,SOFTWARE ENGINEERING,3,4,Which testing technique focuses on testing individual units of code?,Integration testing,System testing,Unit testing,Acceptance testing,Unit testing,CSE-3
CSE,SOFTWARE ENGINEERING,3,4,Which testing technique involves examining the internal structure of the code?,Black-box testing,White-box testing,Gray-box testing,Alpha testing,White-box testing,CSE-3
CSE,SOFTWARE ENGINEERING,3,5,What is the process of analyzing existing software to understand its design and implementation?,Reverse engineering,Forward engineering,Re-engineering,Refactoring,Reverse engineering,CSE-3
CSE,SOFTWARE ENGINEERING,3,5,What is the COCOMO model used for?,Estimating the cost of software development.,Managing software configuration.,Testing software for bugs.,Designing software architecture.,Estimating the cost of software development.,CSE-3
CSE,SOFTWARE ENGINEERING,3,5,What is software risk management?,"The process of identifying, assessing, and mitigating risks in a software project.",The process of testing software for security vulnerabilities.,The process of managing the project budget.,The process of designing the software architecture.,"The process of identifying, assessing, and mitigating risks in a software project.",CSE-3
IT,SOFTWARE ENGINEERING,3,1,The waterfall model is a:,Iterative development model.,Linear sequential development model.,Agile development model.,Rapid prototyping model.,Iterative development model.,IT-3
IT,SOFTWARE ENGINEERING,3,1,The process of understanding and defining the software system and its environment is called:,Design.,Implementation.,Testing.,Requirements engineering.,Requirements engineering.,IT-3
IT,SOFTWARE ENGINEERING,3,1,The ease with which software can be modified is referred to as:,Usability.,Reliability.,Efficiency.,Maintainability.,Maintainability.,IT-3
IT,SOFTWARE ENGINEERING,3,2,Which technique is used to model the flow of data within a system?,Entity-Relationship Diagram (ERD),Data Flow Diagram (DFD),Use Case Diagram,Class Diagram,Data Flow Diagram (DFD),IT-3
IT,SOFTWARE ENGINEERING,3,2,What is the primary difference between verification and validation?,"Verification ensures the software is built correctly, while validation ensures it meets the specified requirements.","Verification focuses on testing, while validation focuses on design.","Verification is a static process, while validation is a dynamic process.","Verification is performed by developers, while validation is performed by testers.","Verification ensures the software is built correctly, while validation ensures it meets the specified requirements.",IT-3
IT,SOFTWARE ENGINEERING,3,2,What is the purpose of an SQA plan?,To define the project schedule and budget.,To outline the quality assurance activities and procedures.,To document the software requirements.,To describe the system architecture.,To outline the quality assurance activities and procedures.,IT-3
IT,SOFTWARE ENGINEERING,3,3,Which design principle emphasizes breaking down a system into smaller independent modules?,Coupling,Cohesion,Modularization,Abstraction,Modularization,IT-3
IT,SOFTWARE ENGINEERING,3,3,In object-oriented design what is the concept of encapsulation?,Combining data and methods into a single unit.,Reusing code by creating templates.,"Breaking down a system into smaller, independent modules.",Hiding the implementation details of a class.,Hiding the implementation details of a class.,IT-3
IT,SOFTWARE ENGINEERING,3,4,Which testing technique focuses on testing individual units of code?,Integration testing,System testing,Unit testing,Acceptance testing,Unit testing,IT-3
IT,SOFTWARE ENGINEERING,3,4,Which testing technique involves examining the internal structure of the code?,Black-box testing,White-box testing,Gray-box testing,Alpha testing,White-box testing,IT-3
IT,SOFTWARE ENGINEERING,3,5,What is the process of analyzing existing software to understand its design and implementation?,Reverse engineering,Forward engineering,Re-engineering,Refactoring,Reverse engineering,IT-3
